Sponsor Seniority (Years),Sponsor Party Majority (1/0),Is Committee Chair (1/0),Majority Party in House (1/0),Margin of Majority (Seats),Pre-committed Cosponsors,Proportion of Majority Cosponsors,Historical Passage Rate (%),Sponsor's Past Success Rate (%),Majority Party Approval Rating (%),Passed
2,1,1,1,16,11,0.9106057172144217,72.03839985864458,62.834711754944436,41.84707062235994,0
6,1,1,0,30,52,0.5098540095504577,51.111363848950056,18.410132336095696,52.891352581680046,1
4,1,1,0,40,74,0.5012756446257294,60.431298224031984,10.56503454489307,47.674148323642555,0
29,0,1,1,2,4,0.05024300982298213,46.089833820658185,81.28509715367578,43.86875044943645,0
18,0,0,0,17,26,0.03491155265622381,82.87089838180064,57.875647635999925,59.85808515428456,0
26,0,1,0,41,11,0.5511599619163721,82.95627156830498,61.82850210137198,65.7403988557327,1
34,0,1,1,12,16,0.4381786132483445,70.93888218243862,78.14620887547092,60.27156891609588,1
10,1,1,0,35,5,0.8391803949802986,10.540137739646227,70.32772277324516,43.28002808470717,0
36,1,0,1,43,96,0.16067958471184518,83.88538619040689,83.44582528560966,59.77768671350215,0
14,1,1,1,1,4,0.024971662117049598,67.10129805329098,5.621390545987848,36.07920729896205,0
31,0,0,1,45,56,0.44903876793012587,69.70241660042996,74.75206367465049,35.212719523651636,0
15,1,0,1,15,27,0.23747855675225749,36.298284040387166,85.08527573220954,43.82508148144636,1
8,0,1,1,26,77,0.04961437333883745,87.92795561570067,28.613504245831432,62.30809476176228,1
14,1,1,0,37,68,0.724598286847629,72.53716002348575,64.04472739932528,39.853929889692076,0
23,0,0,0,21,58,0.11159299995724747,11.259046652919446,31.416206383697208,32.530136355947185,0
21,0,1,1,49,32,0.6083195000077717,40.77780344061627,95.7971066482454,35.2683814082542,1
16,1,0,1,31,61,0.28104975016688916,88.63803619601417,3.3423572435503757,64.3497987411832,0
18,1,0,0,25,49,0.17349605035502202,4.719670169737899,57.97928438329551,55.351331389891506,1
24,1,1,1,23,18,0.37975152291931746,96.14166196420496,16.65035470495151,40.12804653479907,0
26,1,1,1,24,85,0.8014457762229537,67.91625683195628,71.22202051771586,52.211833013127254,1
25,0,0,1,38,68,0.3920935769045727,63.13759776433766,17.589028341866207,51.10318489701402,0
29,1,0,0,28,65,0.7507696492110557,27.05592564879914,23.538326189835757,56.21743913762645,0
15,1,0,0,21,93,0.1254862967991507,24.879178873917706,49.43708110457581,39.327502176864655,1
1,1,0,1,43,46,0.7727714196650791,94.20582194885955,91.4834949996878,64.57611948777591,1
25,0,1,1,18,38,0.23693332490664865,29.827245423412275,21.171437214797084,42.374742483200514,0
7,0,1,0,36,67,0.6773931298888728,77.55052967189994,14.424002111810353,57.765266159049474,0
9,1,1,0,35,32,0.5657815548409963,39.31217982070792,75.89768318540307,30.644985854888596,1
24,0,1,1,45,12,0.9291447172116873,13.925407078470398,50.0619532333931,44.90628519576589,1
1,1,1,1,9,83,0.38732251797531403,1.071529769535895,91.17851123817714,44.06839271835233,0
8,0,0,0,38,53,0.06616518883444045,54.42573370152508,14.661455715984228,51.73937714332058,0
24,0,1,0,30,6,0.019155485551252904,97.57788185489326,64.59278930230393,32.90945047108786,1
11,0,1,0,44,78,0.8268585609727531,36.91361938092045,23.287914615181503,61.60525494904434,1
17,0,1,1,34,86,0.5247356376614322,35.719233399304485,15.67604286516393,38.71123207070274,1
8,1,1,0,32,13,0.7752440518349493,34.40916178494421,68.34294151572705,57.08151259528041,1
35,1,1,1,3,86,0.2344256000115147,52.054383730485846,59.36846199087332,62.12848492976373,1
35,1,0,0,3,18,0.34508374551323373,44.06648834242935,75.48274583623312,52.47507824966053,0
33,0,0,0,28,53,0.03010387221131894,87.99146267270145,30.946257644618235,59.63532826887942,0
5,1,0,0,44,92,0.9614923245741122,50.55207917234903,44.79716563821899,56.47441248860022,1
39,1,1,0,15,19,0.6678679067008134,50.77578381885688,40.547167633041845,44.221191886080305,0
28,1,0,1,41,28,0.9332050877593062,13.83715947205566,98.40894639665142,62.354341561342615,0
7,0,0,1,23,23,0.2654964074290723,98.27395409103859,29.22489567393879,41.78805479542112,1
9,0,1,0,40,81,0.6114636112256608,24.99728908688297,29.481723834676686,52.848516710060686,0
8,0,1,1,11,62,0.6784999682926378,7.336406745960266,35.45482088286074,59.815909565661585,0
12,1,1,0,48,73,0.31754970025758844,66.31462489752089,56.45940812903215,45.1582363925003,0
34,1,0,0,32,56,0.8481092350156301,59.53663701568727,25.232274426374524,42.110704304697,1
33,1,0,0,36,7,0.9471614629002478,41.514565399274574,91.52899403792739,48.373840406912905,1
23,0,1,0,33,89,0.8848551176960043,42.2192233880678,26.56855648662635,62.71853977396614,0
24,0,1,1,24,61,0.7390669759393725,78.50639210464311,89.58157315601947,67.1968705258266,0
37,1,0,0,39,28,0.27746467972495403,19.571264009964906,10.347506364658464,51.80333651439561,0
35,0,0,0,34,73,0.28161604210563174,82.02533189448897,65.65627023996524,56.45864821294607,0
22,0,1,1,28,16,0.9633603204460379,64.87471138950181,90.69855184382438,66.13094488955656,0
27,0,1,0,37,65,0.010284495935692028,41.89697737795244,16.874943839822954,33.9418740565177,0
35,0,0,0,7,5,0.7160499732421445,45.80286165838686,96.8326960099255,39.283143114646606,1
1,1,1,0,4,57,0.7062461625552622,25.66472071860958,45.28833604155117,58.356000250063296,0
35,0,0,1,37,68,0.6226895409497974,75.21143326969748,94.57151084410245,62.949778476491986,0
37,0,0,0,1,27,0.9901088460868658,51.287474230526776,67.6820043630047,64.28116113322312,1
14,0,0,1,1,61,0.31187943576372523,32.08545427498436,30.158686987355154,46.6042870741973,0
3,0,0,0,47,40,0.3399718637932482,59.60501157609502,18.83025249171064,33.57359609167467,0
1,1,1,0,20,68,0.07893940294655555,99.5734452051323,30.37350462250994,47.5112590919848,0
5,1,1,1,19,81,0.44279813654373745,43.52622796565539,9.301740926267499,39.22938360828215,0
26,0,0,0,29,89,0.2610485262348481,92.06914007786196,14.386796634332978,41.64785819986497,1
14,0,0,0,10,83,0.3433867021776442,34.50168399245661,10.466044034648114,60.89070227350023,0
39,0,0,1,18,40,0.8345717902556277,5.4732706924985886,42.29435437415577,33.02108344103547,1
27,0,0,1,28,48,0.9354845135274957,20.424210636842886,79.55783762575864,63.10324869922808,0
9,0,0,1,35,90,0.18573307200518563,41.86951433276842,14.138355421634019,47.10676343296676,0
15,0,1,1,43,48,0.37250893155346587,21.963492859456903,13.032043317233589,53.8425572440238,1
15,1,1,1,47,75,0.9286305621153941,0.02270382182555375,64.34289495173307,33.58608924942716,0
26,0,1,0,31,70,0.06180846068922263,91.50015377475272,19.71829819680663,43.494363134291184,1
13,1,1,1,27,2,0.09236052811137851,84.3879411230929,9.76100381089916,33.58803676059383,1
32,1,0,0,11,9,0.16279098920622936,74.22922314869471,16.684857820557763,68.46174891524439,1
39,0,0,0,49,97,0.5952128341268748,16.781459564602862,92.37313958767761,62.29046597305002,0
32,1,0,0,49,88,0.15047227100599747,12.036357620998606,82.14712527761908,48.38531017425841,0
4,1,0,1,38,34,0.9680763814507335,6.760474947238315,35.40645623550941,38.94410193294684,0
30,1,0,1,5,79,0.44671452725852034,72.40291887729212,65.58207673273928,67.33820420999409,0
37,1,1,0,8,1,0.5015179603501664,92.88079606878853,53.72756736680381,43.78386382907887,1
23,1,0,1,34,23,0.2466586158054065,43.053582091303696,67.7124263482564,36.43937726749499,0
39,1,1,1,48,73,0.4709602524347335,11.914067199604816,68.26711524627594,52.5265755381582,0
15,0,1,1,12,37,0.6619136326370115,51.23928207321066,62.8734015059993,67.75096481379265,1
29,1,1,1,38,21,0.7511771369540428,34.88319074586301,26.610136853730857,30.153211620012904,1
36,1,1,0,1,25,0.753868082709913,37.48249243499977,3.900642076281813,39.52499373015995,0
13,1,0,0,31,42,0.5778911126940883,62.13306241557073,45.55667819901088,67.53790561641631,1
32,0,1,1,4,54,0.9043597749938572,71.87181132622024,89.09738846907038,36.84343867428648,1
7,1,1,0,49,38,0.8174078473061094,11.060359887316086,56.94972585185759,34.529738065592795,1
22,0,1,1,45,90,0.7570481146986254,3.5590230806476386,83.23910417019079,52.80748863199218,1
28,1,0,1,5,28,0.05560552168046062,99.43303026857149,99.16243429612281,64.4737529317932,1
2,0,0,0,30,19,0.006877962219649314,23.272834891555185,16.361620413827627,49.08439270775705,0
6,0,0,0,24,90,0.21244727719547296,5.383052490845907,69.17776391419824,69.78257026738099,0
28,1,1,0,3,40,0.6635235939134523,18.987532909591998,67.42935737000246,57.166867981519715,0
28,1,1,1,11,53,0.4111974888825458,3.895784634846422,97.99554473582785,32.96299628841791,0
20,0,0,0,45,19,0.40240625929931173,39.181089461717164,98.56007339528003,69.71328526727902,0
30,1,1,1,4,18,0.8845868882296137,80.24017844513243,68.66786117241294,46.31576947120762,0
11,0,0,0,26,83,0.8955628481318387,34.124444975772064,24.361479198219428,41.4961013538193,0
28,0,0,0,27,98,0.9091752640535857,44.418340687836654,79.85558381305991,52.31516734311542,1
25,0,1,1,46,65,0.3138780765150273,67.55867735674389,10.70291342110381,42.17230367283457,0
39,0,1,1,43,29,0.6910558127392618,50.889407006988016,78.06993041716287,33.45830028480609,0
33,0,1,1,27,52,0.27163318127436964,86.14456860213242,91.01961241446965,30.05713372316707,0
1,1,1,1,42,33,0.19060983307444979,86.60356750457565,38.28333947684352,47.9833341168105,1
27,0,0,1,6,21,0.18463245734736922,0.9910695491153643,63.06352949830804,63.47453688906369,0
13,0,0,1,15,66,0.34210762086359403,77.80463064831991,43.01427320968263,52.89260742520306,0
3,1,0,1,30,5,0.4299576197798217,46.073360024167386,43.776505498812845,69.96829195773763,1
39,0,0,1,42,78,0.8309491710550684,98.88405413036631,31.037088910812006,41.473865825888,0
6,1,0,0,37,26,0.1198910934727121,48.323207587543514,76.21296204503246,41.218202590402214,0
8,1,1,1,37,9,0.7349258473948942,98.68959453882975,93.61765641665052,36.38997840935777,1
27,1,0,1,42,72,0.5314549141893053,75.45693612057366,94.07508592344611,36.56254353061341,0
9,0,0,0,37,96,0.2879453426759925,24.860488461330633,17.478128487493382,41.40746384040192,1
37,0,0,1,35,95,0.4928195845328246,53.83949792869577,87.4743649656566,61.713601810941086,0
33,0,1,0,23,47,0.29994206977702265,99.21356394785828,73.74314414271221,66.23027162545792,0
24,1,1,0,6,69,0.596081955238306,85.75306077519237,25.283740069028926,69.00348678830724,0
15,0,1,1,4,58,0.4338439228552442,9.73668937912211,6.728461292151455,39.291586163858106,1
32,1,1,0,18,99,0.16440552907887873,70.6371996809996,26.799726688437797,65.25190182456367,1
32,0,0,1,9,58,0.11658307455569672,34.5579585870813,91.22082367815256,43.13020357109348,1
24,1,0,0,49,1,0.5466956820721302,0.6982261880348117,63.31786748957723,34.51362178067538,0
12,0,1,0,29,28,0.9024130332861034,40.34809690269996,72.10546608978719,64.80099702080662,0
39,0,1,0,13,67,0.34395768655768555,23.47544217249713,25.715235110909585,55.444225385744744,1
2,0,0,1,47,64,0.7330001072226232,81.88692705204716,71.93881555748203,36.58923584324247,1
3,1,0,1,17,82,0.658661354939767,33.733060884576545,2.812150627792376,47.193250300520106,0
37,1,1,0,45,25,0.931554914309481,82.7523693953817,37.53213457730138,41.49030779508271,0
17,0,1,0,32,88,0.8209810172991409,0.05979388347953085,62.67533485423312,59.471782748407875,0
2,0,1,1,48,9,0.566605258905463,30.781915002611914,14.609656554132023,48.136649224970725,0
2,1,1,1,22,52,0.6570304982341073,24.116521430776196,82.30035744469347,69.5711978042554,1
28,1,0,0,4,78,0.8983864665840349,23.3567361068611,23.503129881191864,32.1897992903838,0
23,1,0,0,5,58,0.3995187845869348,6.81866197654627,65.22811128184462,44.20061064544987,0
37,0,0,1,37,21,0.32679470585777737,18.712427041050173,40.51971425753297,49.27600668439909,0
32,1,1,1,41,50,0.010811083635196339,55.55495698856199,59.604359547764716,50.125342189932795,0
33,0,1,1,49,47,0.8265510741914642,29.13610728377445,10.745055262890812,42.63743289542547,0
1,1,0,1,13,20,0.8009807004033649,41.73947823291479,1.6912799921607324,59.16960996390272,0
19,0,0,1,34,21,0.10445451810015138,37.68668803471885,90.95644273803012,64.98988293955898,0
2,1,0,0,45,99,0.5768573811327002,87.59049249998945,26.96300087671828,67.54877207911451,1
26,1,0,1,22,97,0.4639816981668874,90.52989990105155,81.96770027804591,62.20373507198105,1
32,1,1,0,23,29,0.11870909550911146,49.295697165586006,99.93503004722002,64.02320789226397,1
6,1,0,1,3,24,0.9805682270607236,33.01559503156044,21.143125799891116,52.02181202479982,0
32,1,0,0,42,27,0.21469588746335544,10.680070400236364,26.51707411833556,63.03552905707258,1
4,0,0,1,34,64,0.06723418009056115,95.3402879382095,66.28597876346657,42.14015636591809,0
11,1,0,1,32,44,0.5948473795019096,6.022694490029745,96.54486346006212,45.939150484368575,0
17,1,0,0,45,67,0.7388666771330327,29.765027756828044,91.58143481907439,42.67652055274177,0
38,1,0,0,49,6,0.03244344604718696,29.806620117000413,50.28755200655849,48.69549341791702,0
24,0,0,1,21,48,0.6587176387270222,32.04012861402149,79.51102825267246,41.423184649545455,1
5,1,1,1,46,8,0.5322918759514544,16.428684327240926,13.574585309990105,68.46445769017788,0
34,0,1,1,44,35,0.10326500887504841,78.31614309236971,97.74381842040123,42.51378512022673,0
6,1,1,1,21,82,0.17252387694636206,12.249786196598922,96.43532340359864,33.92178152443759,1
22,1,1,1,44,0,0.5679742973160805,63.49066591531628,16.372895787917095,51.072686642016535,1
11,0,0,0,11,9,0.2963576135132884,12.384602670581746,29.94231248031066,32.283963137807056,1
16,1,1,0,39,35,0.9383157286513161,7.053563759295656,10.015499750676693,34.421726652343224,0
33,0,1,1,4,72,0.8187402294840508,90.94295036858765,27.17175988981797,38.775575567849856,1
9,0,0,0,1,45,0.983567206513663,19.01287663187057,81.59557894152066,48.574009995285664,0
6,1,0,0,28,31,0.259670838950414,82.12501545597043,37.83156071652595,47.33003729236111,0
16,0,1,0,24,31,0.969723632797977,54.46308711071358,8.839696714675839,61.98767448011165,1
29,1,1,1,35,5,0.43123386979155787,7.78565196087696,34.22255247789045,59.57898615536453,1
3,1,0,0,13,47,0.3475187953137546,95.54481914380675,98.138333424128,47.05273175962805,1
20,0,1,1,47,37,0.05034952696935324,24.696116699189254,62.96835952592029,43.3481683030252,0
36,0,0,0,34,16,0.05276525785960262,85.96453453526065,41.61609464061578,42.658751362459945,0
19,0,0,1,11,73,0.6920112559466547,16.88100057845642,16.653851349727,60.95980349176036,0
26,0,0,0,36,26,0.4579289944340279,85.39428821418528,98.61767972836948,32.08289624885079,0
3,1,0,1,17,53,0.2265216260361057,1.3228812905293985,82.08490092631287,30.512865980424234,0
19,1,1,1,35,49,0.6139703063252326,51.178045656948065,28.14773024509194,61.82177567706592,0
20,0,0,0,18,34,0.2528581182501112,76.94425794215569,7.006869572118946,49.08585503956197,1
32,1,0,1,40,84,0.5776317543444226,93.47955174927833,5.662555737755803,35.23524554214304,0
7,1,1,1,22,24,0.35920874698269034,90.92021362064871,12.037814950553383,39.42263738378005,1
33,1,0,1,24,27,0.823552226611819,81.96248695476449,58.07685836144216,67.3001581238953,1
39,1,1,1,19,14,0.8206961607667793,88.8191349661304,92.87634212054924,64.38011902499592,1
18,0,1,1,37,3,0.4773503981224013,19.92196858370765,49.674342800598446,58.391402008958906,1
1,0,1,1,39,92,0.3508191093350156,28.418429571172876,84.29454824561972,49.28900921349306,1
11,1,0,1,21,72,0.36255979655909454,28.89685249210585,44.588661985980785,50.81294504765543,0
28,0,1,1,8,26,0.8057145256682179,37.70539310016988,70.85835457678252,69.00978141135835,0
25,0,1,0,28,25,0.328179482797612,39.33206703851887,73.18727372865008,68.63081775537148,0
23,0,0,0,5,18,0.20905937370684602,54.45553246546755,17.396370590333866,38.61076183143337,0
31,1,1,1,17,91,0.08468834187530683,15.987976336644138,36.121605897581176,62.444182652212724,1
30,1,1,1,37,16,0.4666931208844084,69.12466637859893,63.73021565380239,37.88970664668067,1
35,1,1,0,36,42,0.4821320989198419,16.75665393045065,7.069660818436619,38.54149911535806,1
7,0,1,0,19,40,0.8409087104029072,31.030848210454753,36.15401877629566,57.04372136658307,0
16,1,1,0,27,41,0.22123869644606398,50.33451306061541,53.479946628119244,46.20004394350194,0
26,1,0,1,34,49,0.3809912736683999,79.64405615234773,99.62244930446387,67.2617762842608,0
2,0,1,0,11,83,0.8084057388936909,73.94692332387272,47.45335626224407,33.56038939584035,0
1,1,1,1,45,39,0.8236236107489735,64.55343564105223,81.60567571143235,50.46102563237972,1
12,1,0,1,47,38,0.3846110759787682,15.577326058017016,43.206728506661776,66.74086121772484,1
5,0,0,0,12,22,0.4591240232866809,54.70453456155777,79.6390722619709,66.1645464191802,0
37,0,0,1,21,95,0.3032858908492829,8.744650179988545,59.54148016201084,36.26116853662965,0
32,0,1,1,11,51,0.9325548784193121,37.73631767966508,88.65954415023984,44.66550800385826,1
9,1,0,1,39,46,0.11864376574158031,41.35165302899592,41.09425523501099,54.76485600186785,1
35,1,1,1,28,62,0.93374942300147,3.9811439445753827,60.43044198214788,36.375795390856084,1
19,1,1,0,5,96,0.6838664518353432,27.398809946997183,63.00186806188274,68.72088688182956,1
16,0,0,0,17,68,0.5315721526867312,95.56494672664894,41.73829418004733,66.58997314910641,0
3,0,0,1,20,42,0.032659060784495875,95.36326078296895,14.431204368748151,36.678007161378765,1
20,1,1,1,41,47,0.4755961918220083,35.23270542525393,9.355940691233556,34.846218450439416,1
24,1,0,0,46,33,0.4077481050027323,4.310010894832406,1.66715505996331,33.416339312330614,1
33,0,1,1,12,39,0.16121881197512256,17.909493932818155,87.35342642452146,66.37774656146524,1
24,0,0,0,6,74,0.6564096035006569,39.221779343354015,23.647491223869455,37.74495239181843,0
11,0,0,1,17,60,0.9711509073682858,94.77796979692297,21.150674928176805,46.65139714177419,0
8,0,0,1,19,49,0.5621888110645251,14.119906353718491,73.60354004260655,47.95405462608012,0
36,1,1,0,26,66,0.7147532764439458,76.35158436682123,32.00161130873917,53.9604417685427,0
38,0,0,0,48,61,0.06845045256601678,10.868253937469207,50.60446924118366,32.869413749897,0
20,1,1,0,44,57,0.41766699581699473,98.12575773912768,16.25110652974563,39.07034469602064,0
35,1,1,0,44,32,0.11635848516449587,38.161649910913496,95.97457214619692,67.25961547675703,1
25,1,1,1,32,74,0.6127958355365104,77.5234538899056,85.15814000172374,66.33640429074278,1
35,0,1,0,6,15,0.9384821582141546,34.259108281113186,86.37896229650033,61.25162589622769,1
25,0,0,1,36,81,0.6617777324716385,62.76688771588087,40.67737485720052,30.776049824728616,1
29,0,1,0,38,93,0.07680304831442153,19.201608474003674,76.23612137071729,43.08027073984408,0
18,0,1,0,11,47,0.35466620498508283,14.602101929696254,14.387615538978016,55.11834941371632,1
18,1,0,1,33,9,0.5506633794408515,93.80641395681313,0.8619002591780278,41.007608470939026,0
2,0,1,0,24,81,0.4032077561332522,91.76472779044335,1.9972932578028124,66.3834678021511,1
35,0,0,0,23,37,0.8336440104751723,88.74689402128824,58.660173740456045,55.355578473297676,1
16,1,1,0,15,18,0.8146710047099892,62.543345016659345,45.53949052479408,32.876268692657824,1
36,0,0,0,27,35,0.6118310201032214,80.82682112162783,51.801534890851975,66.36022355342811,0
33,1,1,1,11,58,0.37345794513270525,6.903693691137491,0.7463140417219405,68.31066632704889,1
4,1,0,1,17,62,0.25533637376324414,33.47890418906792,42.268661965742574,33.10849673566902,0
33,1,1,0,14,76,0.10587431821312931,31.37031247571562,71.80681612008608,51.2944093944526,0
14,1,1,0,27,45,0.35489768348655404,63.56453219526132,44.26937019674359,42.13457128856682,1
21,1,0,0,18,2,0.4131725172077195,35.59577734706405,73.22192063122223,45.713563059256096,0
20,1,0,1,28,73,0.6758229251040736,14.85067816436808,23.30189643968348,37.18604871821368,0
8,1,0,1,47,64,0.6581598242975735,59.646707541354374,81.31420044817254,53.122884080496505,1
7,1,0,1,47,90,0.07010813964125695,81.43839206690815,58.84312404534523,68.31917412995563,1
3,0,1,1,4,7,0.3952593154311578,38.21234944599732,21.076309942990623,50.12290401086436,1
17,0,1,0,7,50,0.18177886721736192,13.22687150984817,23.672047585383293,33.31658325577925,1
33,0,0,0,45,80,0.1568127053168057,19.668819731282305,62.8030464569537,54.80005333909634,1
12,0,1,0,35,72,0.8273021497372459,23.7483305169384,82.99395932124433,43.60891977805028,1
22,1,0,1,48,5,0.04191521671625753,29.989759299453624,41.56277820291552,64.23700758365192,0
22,0,0,0,9,88,0.41918287590212133,64.27950705063091,25.83004291275922,47.387125932658805,1
30,1,1,1,8,38,0.1682036557665182,60.0945484537719,86.70116069106004,37.713584357689825,1
38,0,1,1,45,59,0.879330215678474,69.60798615670392,66.9268291750835,37.6442249076458,0
38,0,1,0,17,27,0.5570405132750351,36.25019845315131,44.80854872830765,60.750567228846414,1
8,0,1,0,17,96,0.23138063637684803,82.39976518799783,48.790019527930184,40.6235039322944,0
27,1,1,0,49,53,0.5024272871663764,20.40876611557603,20.42564679363964,60.68933576636892,1
27,0,1,1,33,36,0.7314863597031158,46.90407475181539,62.680263006484395,38.235492430663975,1
34,1,1,1,32,8,0.9581180089194338,80.09387215414303,35.87425105428886,42.867454748052374,0
21,1,0,0,8,81,0.22044600424541894,18.015864773261924,99.56451766743493,48.619478897587975,1
30,0,0,0,19,55,0.8861817721293451,10.986311374078294,48.01835152618879,67.72783398773802,0
33,0,0,1,38,58,0.9343041141674903,88.36839676879897,48.58856061896132,67.26925699015298,1
28,0,0,0,3,84,0.9164205445320662,34.29296627591959,56.58517874106719,38.274875016891514,1
33,1,0,1,5,1,0.6354143568619098,68.3870124909032,91.67560031187467,44.328761649722914,0
5,0,1,1,13,60,0.6298206544347077,2.534860426393848,80.08180998597503,35.97597553815089,1
19,1,0,0,47,57,0.4032106331838228,69.00468884094497,45.113006979784146,50.399403172539884,1
4,1,0,0,46,59,0.7523978823037879,31.61013115469705,71.8699265972796,48.42330202778666,0
35,0,0,0,31,39,0.5312940183509319,5.574085358744174,58.62354987807616,66.0304064980293,1
17,0,0,0,16,35,0.6774380712282945,60.9812761548117,49.23670487012489,67.2002151116429,0
28,1,0,1,32,36,0.42845790384879545,24.080381607317324,19.231577278435054,45.34269564029168,1
30,1,0,1,22,78,0.7314964640431391,38.680724205188,46.39362634548909,49.66951772075958,0
29,1,0,1,29,91,0.8244715176045491,8.058081228651359,24.581858702257463,65.84944996584532,1
6,0,1,0,22,17,0.14643625660281612,14.716325109494532,91.48421498516547,62.26831230980246,0
35,1,1,1,43,97,0.832929715574228,29.797723549584376,33.540681349634696,30.14625245378597,0
37,0,0,0,3,62,0.5402965317903072,8.975950056015714,95.22640145333723,42.8023825673433,1
24,1,1,0,10,21,0.8446659090902243,91.08262646863152,53.30552900947112,46.87096967744503,1
